所属概念,market_code,所属概念数量,code,股票代码
土地流转;乡村振兴;国企改革;碳中和;芯片概念;碳交易;融资融券,17,7,600076,600076.SH
苹果概念;富士康概念;汽车电子;消费电子概念;智能穿戴;智能座舱;虚拟现实;专精特新;新能源汽车;新型烟草(电子烟);低空经济;锂电池概念;深股通;融资融券,33,14,300951,300951.SZ
共封装光学(CPO);存储芯片;芯片概念;英伟达概念;比亚迪概念;数据中心(AIDC);专精特新;新能源汽车;光伏概念;华为概念;东数西算(算力);充电桩;储能;融资融券;深股通,33,15,300811,300811.SZ
数据中心(AIDC);污水处理;融资融券,17,3,688448,688448.SH
空间计算;大飞机;阿里巴巴概念;机器人概念;特斯拉概念;专精特新;比亚迪概念;3D打印;宁德时代概念;沪股通;融资融券,17,11,688583,688583.SH
航空发动机;商业航天;可控核聚变;3D打印;共封装光学(CPO);芯片概念;核电;特高压;新能源汽车;充电桩;独角兽概念;DeepSeek概念;医疗器械概念;西部大开发;沪股通;融资融券,17,16,688102,688102.SH
华为鲲鹏;智慧政务;时空大数据;网络安全;信创;数据安全;人脸识别;AI应用;数据要素;安防;智慧城市;数字经济;人工智能;DeepSeek概念;独角兽概念;新疆振兴;机器视觉;西部大开发;专精特新;东数西算(算力);华为概念;股权转让(并购重组),33,22,300588,300588.SZ
3D打印;商业航天;专精特新;碳纤维;高端装备;机器人概念;低空经济;飞行汽车(eVTOL);沪股通;融资融券,17,10,688433,688433.SH
专精特新;消费电子概念;PCB概念;芯片概念;新能源汽车;先进封装;储能;新股与次新股;融资融券,151,9,920125,920125.BJ
PCB概念;2025年报预增;消毒剂;医疗器械概念;深股通;融资融券,33,6,002636,002636.SZ
光纤概念;MR(混合现实);柔性直流输电;风电;智能电网;传感器;物联网;地下管网;机器人概念;工业互联网;人工智能;融资融券,17,12,688450,688450.SH
禽流感;创新药;医药电商;细胞免疫治疗;流感;横琴新区;辅助生殖;ST板块;医疗器械概念;数字经济;粤港澳大湾区,33,11,300147,300147.SZ
减速器;工业母机;人形机器人;新型工业化;机器人概念;传感器;富士康概念;高端装备;新能源汽车;比亚迪概念;商业航天;专精特新;燃料电池;人工智能;PCB概念;海峡两岸;粤港澳大湾区;芯片概念;2025年报预增;氢能源;光伏概念;融资融券;深股通,33,23,300503,300503.SZ
一带一路;医疗器械概念;人民币贬值受益;锂电池概念,17,4,603665,603665.SH
航空发动机;商业航天;大飞机;无人机;3D打印;核电;低空经济;专精特新;机器人概念;工业互联网;风电;融资融券,33,12,301232,301232.SZ
新型工业化;稀土永磁;工业互联网;华为概念;物联网;智慧城市;数字经济;2025年报预增;DeepSeek概念;储能;污水处理;互联网金融;净水概念;深股通;融资融券,33,15,300066,300066.SZ
汽车热管理;比亚迪概念;新能源汽车;光伏概念;液冷服务器;机器人概念;数据中心(AIDC);5G;医疗器械概念;一带一路;储能;充电桩;京津冀一体化;风电;国企改革;股权转让(并购重组),33,16,300828,300828.SZ
