market_code,code,所属概念数量,所属概念,股票代码
33,002639,30,可控核聚变;商业航天;核电;海工装备;抽水蓄能;水利;高端装备;福建自贸区;数字经济;氢能源;东数西算(算力);雅下水电概念;阿里巴巴概念;碳中和;冰雪产业;海峡两岸;腾讯概念;物联网;华为概念;天然气;工业互联网;燃料电池;数据中心;一带一路;体育产业;冷链物流;空气能热泵;液冷服务器;深股通;融资融券,002639.SZ
33,002808,11,ST板块;医疗器械概念;燃料电池;安防;光伏概念;数据安全;网络安全;数字经济;信创;区块链;NFT概念,002808.SZ
17,605366,4,有机硅概念;硅能源;回购增持再贷款概念;融资融券,605366.SH
22,600777,5,ST板块;天然气;俄乌冲突概念;页岩气;人民币贬值受益,600777.SH
151,920163,5,可降解塑料;融资融券;京津冀一体化;人民币贬值受益;工业互联网,920163.BJ
22,600381,3,ST板块;西部大开发;白酒概念,600381.SH
33,000507,12,航运概念;统一大市场;绿色电力;光伏建筑一体化;国企改革;天然气;一带一路;风电;广东自贸区;横琴新区;粤港澳大湾区;深股通,000507.SZ
17,600227,9,化肥;煤化工概念;煤炭概念;民营医院;西部大开发;阿尔茨海默概念;仿制药一致性评价;创投;医疗器械概念,600227.SH
33,002921,10,减速器;光热发电;燃料电池;光伏概念;氢能源;农机;新能源汽车;机器人概念;人民币贬值受益;乡村振兴,002921.SZ
33,002261,31,华为欧拉;华为昇腾;国产操作系统;信创;华为鲲鹏;云计算;华为盘古;智慧政务;鸿蒙概念;算力租赁;移动支付;东数西算(算力);蚂蚁集团概念;阿里巴巴概念;车联网(车路协同);在线教育;人工智能;虚拟数字人;智慧城市;DeepSeek概念;物联网;华为概念;手机游戏;工业互联网;机器人概念;智能医疗;托育服务;三胎概念;AI应用;深股通;融资融券,002261.SZ
33,002485,3,ST板块;特色小镇;旅游概念,002485.SZ
17,603123,19,数字货币;移动支付;跨境支付(CIPS);无人零售;无人驾驶;数字经济;数据要素;旅游概念;腾讯概念;物业管理;京津冀一体化;阿里巴巴概念;人工智能;国企改革;芯片概念;汽车芯片;AI应用;沪股通;融资融券,603123.SH
33,301327,16,钠离子电池;固态电池;BC电池;锂电池概念;光伏概念;特斯拉概念;储能;新能源汽车;机器人概念;人民币贬值受益;智能电网;光伏建筑一体化;露营经济;网红经济;深股通;融资融券,301327.SZ
151,920832,4,环氧丙烷;氢能源;融资融券;煤化工概念,920832.BJ
17,600149,4,雄安新区;物业管理;国企改革;京津冀一体化,600149.SH
151,920964,9,数字乡村;乡村振兴;股权转让(并购重组);物联网;融资融券;水利;专精特新;农机;国企改革,920964.BJ
33,002531,6,风电;海工装备;氢能源;绿色电力;深股通;融资融券,002531.SZ
17,600179,11,自由贸易港;宁德时代概念;海峡两岸;统一大市场;一带一路;航运概念;中俄贸易概念;区块链;2025年报预增;沪股通;融资融券,600179.SH
33,003018,0,,003018.SZ
17,600997,5,煤炭概念;煤化工概念;国企改革;沪股通;融资融券,600997.SH
33,300471,13,氢能源;天然气;燃料电池;成飞概念;中俄贸易概念;页岩气;一带一路;军工;西部大开发;专精特新;创投;物联网;融资融券,300471.SZ
33,000822,7,钒电池;污水处理;国企改革;氢能源;固态电池;深股通;融资融券,000822.SZ
33,300565,11,光纤概念;5G;液冷服务器;数据中心;物联网;智慧灯杆;太赫兹;数字孪生;储能;粤港澳大湾区;锂电池概念,300565.SZ
33,002843,15,AI PC;高压快充;军工;数据中心;储能;充电桩;华为概念;苹果概念;商业航天;智能穿戴;光伏概念;消费电子概念;一带一路;深股通;融资融券,002843.SZ
33,002001,9,氟化工概念;回购增持再贷款概念;维生素;青蒿素;合成生物;人民币贬值受益;深股通;融资融券;商业航天,002001.SZ
33,300437,10,磷化工;消毒剂;净水概念;土壤修复;碳中和;污水处理;PPP概念;新型城镇化;工业互联网;融资融券,300437.SZ
17,600740,7,煤炭概念;煤化工概念;国企改革;碳纤维;融资融券;工业互联网;沪股通,600740.SH
33,002384,20,共封装光学(CPO);同花顺果指数;PCB概念;苹果概念;5G;芯片概念;消费电子概念;数据中心;MiniLED;高压快充;小米概念;人形机器人;新能源汽车;特斯拉概念;华为概念;机器人概念;人民币贬值受益;深股通;长三角一体化;融资融券,002384.SZ
151,920304,4,融资融券;化肥;光热发电;储能,920304.BJ
